Name,pmid,shorthand
Oncorhynchus,15548287,O.
Rhagoletis,15591346,R.
Poeciliopsis,15598712,P.
Urophora,15609551,U.
Plutella,15612282,P.
Allonemobius,15612285,A.
Salmo,15612571,S.
Salvelinus,15648151,S.
Ochlerotatus,15654112,O.
Mytilus,15660932,M.
Drosophila,15663255,D.
Chaitophorus,15666751,C.
Homoptera,15666751,H.
Drosophila,15678745,D.
Cichla,15703041,C.
Heliconius,15715831,H.
Carassius,15771088,C.
Hybognathus,15773952,H.
Dendroica,15801615,D.
Nomonyx,15805009,N.
Oxyura,15805009,O.
Plethodon,15813784,P.
Phyllocnistis,15834698,P.
Cichla,15841438,C.
Chorthippus,15842499,C.
Strongylocentrotus,15856696,S.
Trichosurus,15856789,T.
Rhopalosiphum,15889754,R.
Homoptera,15889754,H.
Diuraphis,15889754,D.
Schistosoma,15906648,S.
Biomphalaria,15906648,B.
Acanthoxyla,15910332,A.
Clitarchus,15910332,C.
Drosophila,15911585,D.
Cyrtodiopsis,15926694,C.
Lepidiolamprologus,15964213,L.
Neolamprologus,15964213,N.
Lamprologus,15964213,L.
Altolamprologus,15964213,A.
Lepus,15969727,L.
Cantabria,15969727,C.
Poeciliopsis,15972455,P.
Drosophila,15972457,D.
Macaca,15996717,M.
Drosophila,16011001,D.
Heteronotia,16029476,H.
Anopheles,16033116,A.
Myzus,16047739,M.
Ensatina,16050109,E.
Rana,16050110,R.
Equus,16060497,E.
Macaca,16096901,M.
Bactrocera,16124255,B.
Equus,16130463,E.
Anopheles,16136801,A.
Drosophila,16136803,D.
Mnais,16141700,M.
Drosophila,16143608,D.
Drosophila,16175456,D.
Campeloma,16191628,C.
Helicoverpa,16197561,H.
Galerida,16202098,G.
Spermophilus,16240632,S.
Triatoma,16247698,T.
Asterias,16260771,A.
Ficedula,16313454,F.
Are,16313469,A.
Rana,16313469,R.
Mandarina,16329242,M.
Sesamia,16334341,S.
Tetranychus,16334344,T.
Alosa,16398144,A.
Trichechus,16448411,T.
Autographa,16478634,A.
Spodoptera,16478634,S.
Bombyx,16478634,B.
Cyprinodon,16499693,C.
Xiphophorus,16499697,X.
Syngnathus,16499704,S.
Drosophila,16510788,D.
Drosophila,16526506,D.
Drosophila,16526507,D.
Chrysochus,16526511,C.
Ficedula,16526517,F.
Timarcha,16557341,T.
Drosophila,16570069,D.
Thalassoma,16581267,T.
Sus,16612336,S.
Bombina,16637503,B.
Anura,16637503,A.
Cyanoramphus,16638008,C.
Gekko,16648994,G.
Squamata,16648994,S.
Lyciasalamandra,16674567,L.
Magicicada,16674582,M.
Phrynosoma,16689900,P.
Anguilla,16689906,A.
Mata,16696655,M.
Mytilus,16720399,M.
Helicoverpa,16736191,H.
Spermophilus,16756072,S.
Citellus,16756072,C.
Colobotis,16756072,C.
Spermophilus,16756073,S.
Manduca,16762034,M.
Heliconius,16778888,H.
Ficedula,16780521,F.
Plectropomus,16806990,P.
Litoria,16824041,L.
Haemonchus,16828228,H.
Heliconius,16892975,H.
Timema,16900317,T.
Drosophila,16905873,D.
Xiphophorus,16914385,X.
Spermophilus,16915930,S.
Citellus,16915930,C.
Colobotis,16915930,C.
Canis,16922243,C.
Oryzias,16941651,O.
Drosophila,16951071,D.
Drosophila,16960009,D.
Boophilus,16978472,B.
Rhagoletis,16985190,R.
Squalius,16989992,S.
Anaecypris,16989992,A.
